City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ebon,4.582,168.6964,28.61,76,100,6.49,MH,1693004334
1,phulbani,20.4667,84.2333,21.89,93,91,1.82,IN,1693004334
2,humberto de campos,-2.5983,-43.4611,25.07,87,9,2.94,BR,1693004334
3,port alfred,-33.5906,26.891,11.21,88,59,2.68,ZA,1693004335
4,mount gambier,-37.8333,140.7667,9.2,71,89,2.95,AU,1693004335
5,adamstown,-25.066,-130.1015,18.89,60,26,5.98,PN,1693004335
6,port-aux-francais,-49.35,70.2167,2.93,78,100,13.72,TF,1693004335
7,trairi,-3.2778,-39.2689,25.34,80,1,4.43,BR,1693004335
8,edinburgh of the seven seas,-37.0676,-12.3116,14.78,92,100,13.61,SH,1693004336
9,nova vicosa,-17.8919,-39.3719,24.88,86,15,7.0,BR,1693004336
10,ilulissat,69.2167,-51.1,4.72,84,91,2.95,GL,1693004336
11,lebu,-37.6167,-73.65,7.45,73,10,2.23,CL,1693004336
12,tanjungtiram,4.0613,98.3699,23.78,93,99,1.48,ID,1693004337
13,fortaleza,-3.7227,-38.5247,27.34,74,0,3.09,BR,1693004337
14,smithers,54.7804,-127.1743,26.18,29,0,3.09,CA,1693004337
15,barra de santo antonio,-9.4047,-35.5072,22.6,79,95,4.21,BR,1693004059
16,afaahiti,-17.75,-149.2833,28.93,85,50,7.04,PF,1693004337
17,rio grande,-32.035,-52.0986,12.06,67,13,3.48,BR,1693004337
18,sortavala,61.7053,30.6918,10.17,86,23,3.0,RU,1693004337
19,hilo,19.7297,-155.09,28.47,67,18,1.79,US,1693004338
20,murun-kuren,49.6342,100.1625,10.29,85,4,0.9,MN,1693004338
21,bilibino,68.0546,166.4372,10.84,48,87,1.03,RU,1693004338
22,utrik,11.2278,169.8474,28.44,71,100,6.86,MH,1693004338
23,tandalti,13.0167,31.8667,29.96,47,100,5.43,SD,1693004338
24,tiksi,71.6872,128.8694,10.4,82,80,3.92,RU,1693004338
25,grytviken,-54.2811,-36.5092,-1.98,97,72,1.91,GS,1693004339
26,ta`u,-14.2336,-169.5144,27.51,73,18,6.81,AS,1693004339
27,parambu,-6.2111,-40.6944,26.77,33,3,1.67,BR,1693004339
28,thompson,55.7435,-97.8558,21.09,37,20,5.14,CA,1693004339
29,bethel,41.3712,-73.414,24.08,87,85,0.45,US,1693004339
30,hithadhoo,-0.6,73.0833,28.05,77,40,5.4,MV,1693004339
31,toyooka,35.5333,134.8333,27.89,72,0,1.8,JP,1693004133
32,coromandel,-18.4733,-47.2003,24.01,38,54,2.13,BR,1693004340
33,la ronge,55.1001,-105.2842,21.14,46,75,3.6,CA,1693004340
34,kolonia,50.9333,6.95,20.13,85,20,4.63,DE,1693004243
35,lompoc,34.6391,-120.4579,31.68,68,0,7.6,US,1693004340
36,samana,19.2056,-69.3369,26.98,90,99,2.44,DO,1693004340
37,deqen,29.9618,90.7188,10.7,89,100,1.14,CN,1693004341
38,wailua homesteads,22.0669,-159.378,27.85,68,7,3.13,US,1693004341
39,uturoa,-16.7333,-151.4333,26.07,79,40,7.76,PF,1693004341
40,iraucuba,-3.7461,-39.7833,24.76,70,4,2.96,BR,1693004341
41,takoradi,4.8845,-1.7554,24.44,94,99,4.25,GH,1693004341
42,carnarvon,-24.8667,113.6333,18.03,59,0,5.13,AU,1693004303
43,puerto baquerizo moreno,-0.9,-89.6,27.55,65,40,5.14,EC,1693004342
44,cockburn town,21.4612,-71.1419,28.98,70,40,5.14,TC,1693004342
45,san andres,12.5847,-81.7006,31.01,70,40,1.03,CO,1693004343
46,praia da vitoria,38.7333,-27.0667,23.14,88,40,7.05,PT,1693004343
47,badger,64.8,-147.5333,15.77,97,100,0.46,US,1693004236
48,stanley,54.868,-1.6985,11.4,92,20,0.51,GB,1693004343
49,georgetown,5.4112,100.3354,26.12,93,20,1.03,MY,1693004103
50,yellowknife,62.456,-114.3525,21.9,70,75,6.17,CA,1693004343
51,ushuaia,-54.8,-68.3,1.81,75,40,8.75,AR,1693004344
52,quellon,-43.1167,-73.6167,9.14,76,100,3.6,CL,1693004344
53,tefe,-3.3542,-64.7114,30.06,74,0,1.03,BR,1693004344
54,pyetrykaw,52.1289,28.4921,17.49,69,99,2.41,BY,1693004344
55,alpine,32.835,-116.7664,34.75,50,0,3.37,US,1693004344
56,iqaluit,63.7506,-68.5145,9.85,76,75,6.17,CA,1693004344
57,colonia,50.9333,6.95,20.13,85,20,4.63,DE,1693004344
58,jamestown,42.097,-79.2353,22.51,95,100,2.57,US,1693004345
59,soledad de doblado,19.05,-96.4167,30.03,88,15,2.31,MX,1693004345
60,metu,8.3,35.5833,13.59,98,74,1.34,ET,1693004345
61,margaret river,-33.95,115.0667,13.24,75,33,2.06,AU,1693004345
62,atafu village,-8.5421,-172.5159,28.14,79,100,5.61,TK,1693004346
63,kegeyli shahar,42.7767,59.6078,24.05,34,92,2.37,UZ,1693004346
64,lido di ostia,41.7321,12.2765,28.91,57,0,1.03,IT,1693004346
65,ankang,32.68,109.0172,21.2,98,100,1.35,CN,1693004346
66,ilebo,-4.3167,20.5833,23.0,89,96,0.92,CD,1693004346
67,langsa,4.4683,97.9683,22.98,97,76,0.88,ID,1693004346
68,shiprock,36.7855,-108.687,31.23,28,8,3.57,US,1693004347
69,waitangi,-43.9535,-176.5597,11.57,75,78,1.34,NZ,1693004347
70,isafjordur,66.0755,-23.124,12.89,85,100,7.27,IS,1693004347
71,weno,7.4515,151.8468,29.04,76,88,7.3,FM,1693004347
72,ust'-kulom,61.6864,53.6902,7.85,97,96,2.68,RU,1693004347
73,roswell,34.0232,-84.3616,36.06,53,2,0.45,US,1693004347
74,lihue,21.9789,-159.3672,28.19,67,7,5.72,US,1693004348
75,launceston,-41.45,147.1667,6.75,75,60,3.6,AU,1693004067
76,guerrero negro,27.9769,-114.0611,23.97,66,4,7.93,MX,1693004348
77,happy valley-goose bay,53.3168,-60.3315,20.17,60,75,2.06,CA,1693004348
78,touros,-5.1989,-35.4608,24.37,80,13,5.2,BR,1693004348
79,puerto natales,-51.7236,-72.4875,0.26,94,54,1.62,CL,1693004349
80,zaysan,47.4667,84.8667,21.44,31,16,1.42,KZ,1693004349
81,hermanus,-34.4187,19.2345,9.89,70,58,10.66,ZA,1693004349
82,new norfolk,-42.7826,147.0587,7.73,81,92,0.95,AU,1693004349
83,ambalangoda,6.2355,80.0538,26.6,82,89,3.35,LK,1693004349
84,newman,37.3138,-121.0208,35.03,10,0,2.0,US,1693004350
85,bredasdorp,-34.5322,20.0403,9.03,65,73,9.23,ZA,1693004350
86,porto novo,6.4965,2.6036,25.9,93,80,3.41,BJ,1693004350
87,nantucket,41.2835,-70.0995,21.12,48,100,7.5,US,1693004088
88,fortuna,40.5982,-124.1573,21.07,74,20,5.66,US,1693004350
89,sandnessjoen,66.0217,12.6316,13.29,75,22,5.64,NO,1693004351
90,mabaruma,8.2,-59.7833,26.1,82,12,1.79,GY,1693004351
91,albany,42.6001,-73.9662,24.47,89,100,0.28,US,1693004351
92,howard springs,-12.497,131.047,23.79,86,48,4.39,AU,1693004351
93,qaqortoq,60.7167,-46.0333,6.13,96,22,2.18,GL,1693004351
94,rivne,50.6231,26.2274,20.04,48,91,3.43,UA,1693004351
